leaf-width-cm,leaf-length-cm,plant-name
1,1.5,succulent
0.9,1.3,succulent
1.1,2.1,succulent
0.9,1.3,succulent
1,1.5,succulent
0.9,1.7,succulent
0.8,1.7,succulent
0.8,1.4,succulent
1,1.7,succulent
1.1,2.7,baby bamboo
1.1,3.1,baby bamboo
1.2,2.8,baby bamboo
1.4,3.5,baby bamboo
1,3,baby bamboo
1.1,3.2,baby bamboo
1,3.1,baby bamboo
0.9,2.7,baby bamboo
1.2,2.9,baby bamboo
10.3,14.5,money tree
12.3,21.3,money tree
11.6,23.1,money tree
10.7,22.7,money tree
10.5,17.8,money tree
9.8,15.3,money tree
13,21.9,money tree
12.7,20.7,money tree
14.5,27.1,money tree
